time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
0.0,0.3347,1,,,,,,161.0000001,,
160.9999999171123,0.3347,2,,,19.443107115999965,,,,216.00000020116568,
557.0000000763685,0.4168,3,,,,,,170.99999994,,
727.9999998165295,0.4168,4,,,,20.175334379,,,,2047.0000001136214
2954.9999998882413,0.5944,1,,,,,,186.9999999,,
3142.00000022538,0.5944,2,,,0.0,,,,5367.000000458211,
8689.000000013039,0.8663000000000001,3,,,,,,204.99999996,,
8894.000000157394,0.8663000000000001,4,,,,20.967926057,,,,215.99999957252294
9290.00000031665,0.873,1,,,,,,204.99999996,,
9494.999999832362,0.873,2,,,23.29761764,,,,77378.00000072457,
87052.99999988638,-0.3766,3,,,,,,166.00000002,,
87219.00000034366,-0.3766,4,,,,1918.987899045,,,,10672.999999858439
98072.00000016019,0.4793,1,,,,,,177.00000011999998,,
98249.00000004563,0.4793,2,,,1120.732062207,,,,8110.999999428168,
106540.00000006054,0.3257,3,,,,,,159.9999999,,
106699.99999974389,0.3257,4,,,,0.0,,,,64704.00000018999
171583.99999989197,0.028499999999999998,1,,,,,,87.0,,
171671.0000001127,0.028499999999999998,2,,,6.478349239000025,,,,216.00000020116568,
172067.00000027195,0.03789999999999999,3,,,,,,93.99999996,,
172161.00000024308,0.03789999999999999,4,,,,757.63524782,,,,7926.999999163672
180267.99999999348,0.8141,1,,,,,,202.00000008,,
180470.0000000652,0.8141,2,,,1355.6172624469996,,,,51325.999999791384,
231975.99999981467,1.3437000000000001,3,,,,,,230.99999994,,
232206.9999997504,1.3437000000000001,4,,,,1816.917348754,,,,31539.999999501742
263926.9999998389,-0.3031,1,,,,,,158.00000004,,
264085.000000312,-0.3031,2,,,2210.267926694,,,,4599.999999068677,
268864.9999999674,0.0719,3,,,,,,110.00000016,,
268974.99999990687,0.0719,4,,,,690.979409498,,,,70578.00000035204
339733.000000217,0.2563,1,,,,,,151.00000008,,
339884.00000031106,0.2563,2,,,1570.497747399,,,,6154.000000236556,
346217.99999987707,-0.25410000000000005,3,,,,,,150.99999989999998,,
346368.9999999711,-0.25410000000000005,4,,,,1596.359852976,,,,10912.999999383464
357461.9999999413,0.0111,1,,,,,,69.00000018,,
357531.00000035483,0.0111,2,,,0.0,,,,67424.9999994412,
425135.99999975413,0.4505,3,,,,,,174.0,,
425310.0000001956,0.4505,4,,,,672.654539913,,,,391.0000002477318
425880.99999977276,0.3925,1,,,,,,168.00000006,,
426049.0000000689,0.3925,2,,,9.191370573,,,,4179.000000609085,
430408.00000000745,-0.0496,3,,,,,,100.00000014,,
430508.00000012387,-0.0496,4,,,,26.168772712,,,,19293.99999906309
449981.9999997737,0.11629999999999999,1,,,,,,124.00000007999999,,
450105.9999998426,0.11629999999999999,2,,,0.0,,,,60402.99999997951,
510688.9999997802,0.7796,3,,,,,,200.00000004,,
510889.00000001304,0.7796,4,,,,5.557780543,,,,216.00000020116568
511285.0000001723,0.7546999999999999,1,,,,,,198.0,,
511482.9999999376,0.7546999999999999,2,,,0.0,,,,97484.99999935739,
609147.9999998817,0.4371,3,,,,,,171.99999996,,
609319.9999998556,0.4371,4,,,,2092.222835601,,,,518.0000003892928
610018.000000203,0.36369999999999997,1,,,,,,165.0,,
610182.9999997979,0.36369999999999997,2,,,1703.2224092909998,,,,1072.9999999981374,
611435.9999997541,0.2494,3,,,,,,150.00000006,,
611586.0000002431,0.2494,4,,,,0.0,,,,6095.999999251217
617862.000000081,-0.012500000000000004,1,,,,,,71.00000004,,
617933.0000003334,-0.012500000000000004,2,,,1287.54099698,,,,425.00000002328306,
618538.0000003148,-0.008800000000000002,3,,,,,,64.99999992000001,,
618602.9999997932,-0.008800000000000002,4,,,,0.0,,,,665.0000001769513
619447.9999999283,-0.003700000000000002,1,,,,,,52.999999800000005,,
619500.9999997448,-0.003700000000000002,2,,,1570.929880676,,,,435.999999451451,
620116.999999783,0.0,3,,,,,,0.0,,
