time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
0.0,0.34809999999999997,1,,,,,,163.0000002,,
162.99999975599349,0.34809999999999997,2,,,33.72252567000001,,,,63876.000000257045,
64218.99999997113,0.086,3,,,,,,114.99999984,,
64333.99999982212,0.086,4,,,,709.813627476,,,,2884.0000002644956
67398.0000000447,0.3862,1,,,,,,167.00000004,,
67565.0000001071,0.3862,2,,,65.59272713900009,,,,57613.999999919906,
125358.9999999851,0.99,3,,,,,,212.99999994,,
125572.00000011362,0.99,4,,,,19.300334523,,,,15553.999999864027
141305.99999993574,0.0911,1,,,,,,116.99999988,,
141422.9999996256,0.0911,2,,,147.357206541,,,,3218.999999994412,
144821.9999995781,0.028499999999999998,3,,,,,,87.0,,
144908.99999979883,0.028499999999999998,4,,,,9.965516287,,,,15822.000000905246
160911.00000003353,1.2078,1,,,,,,223.99999998,,
161134.99999959022,1.2078,2,,,0.0,,,,5249.999999511056,
166564.999999688,1.3926,3,,,,,,234.0,,
166798.9999996964,1.3926,4,,,,24.159902113,,,,216.00000020116568
167194.99999985565,1.4170999990000002,1,,,,,,234.0,,
167428.99999986403,1.4170999990000002,2,,,0.0,,,,51028.000000538304,
218636.99999973178,1.1804000000000001,3,,,,,,221.99999994,,
218859.00000007823,1.1804000000000001,4,,,,784.481092793,,,,394.00000032037497
219432.99999972805,1.1122,1,,,,,,218.99999988000002,,
219652.00000000186,1.1122,2,,,1907.6565870100003,,,,45032.00000077486,
264864.00000010617,0.4694,3,,,,,,176.0000001,,
265039.99999975786,0.4694,4,,,,1093.868645363,,,,67070.00000006519
332289.99999978114,0.2454,1,,,,,,148.99999986,,
332439.0000000363,0.2454,2,,,1537.8808625370002,,,,95560.99999970756,
428179.999999702,0.24239999999999998,3,,,,,,149.00000004,,
428328.99999995716,0.24239999999999998,4,,,,0.0,,,,41923.99999969639
470432.99999961164,0.5699,1,,,,,,184.00000008,,
470616.99999987613,0.5699,2,,,8.870100331000117,,,,216.00000020116568,
471013.0000000354,0.5831999999999999,3,,,,,,186.00000011999998,,
471199.00000013877,0.5831999999999999,4,,,,1972.561120597,,,,17209.999999729916
488588.9999998268,0.4774,1,,,,,,177.00000011999998,,
488765.9999997122,0.4774,2,,,5.9260735610000665,,,,13219.999999925494,
502165.9999995958,-0.3902,3,,,,,,168.00000006,,
502333.99999989197,-0.3902,4,,,,0.0,,,,60007.0000004489
562520.9999996703,1.1053,1,,,,,,219.00000006,,
562739.9999999441,1.1053,2,,,108.440889406,,,,452.0000000484288,
563371.9999999506,1.140699999,3,,,,,,220.99999992,,
563593.0000000633,1.140699999,4,,,,0.0,,,,452.0000000484288
564225.0000000698,1.1763000000000001,1,,,,,,221.99999994,,
564446.9999997877,1.1763000000000001,2,,,1033.346543487,,,,393.00000071525574,
565019.9999998324,1.2068,3,,,,,,223.99999998,,
565244.0000000177,1.2068,4,,,,845.157073164,,,,7520.99999981001
572944.9999997858,1.2539,1,,,,,,227.00000004,,
573172.0000000438,1.2539,2,,,0.0,,,,2872.999999579042,
576224.9999995809,1.0378,3,,,,,,215.00000015999998,,
576440.000000177,1.0378,4,,,,492.131918708,,,,347.0000000204891
576967.0000001555,0.9678,1,,,,,,210.99999989999998,,
577177.9999998165,0.9678,2,,,0.0,,,,1060.0000001024455,
578417.9999998771,0.8307,3,,,,,,203.0000001,,
578621.0000001825,0.8307,4,,,,646.734679774,,,,480.00000030733645
579280.9999998193,0.7474000000000001,1,,,,,,197.00000016,,
