time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
0.0,0.2079,1,,,,,,142.99999992,,
143.00000010989606,0.2079,2,,,1784.6664090500003,,,,23201.999999815598,
23524.999999883585,0.6687,3,,,,,,192.00000006,,
23717.000000132248,0.6687,4,,,,0.0,,,,56363.99999940768
80261.00000012666,-0.28,1,,,,,,153.99999996,,
80415.00000029337,-0.28,2,,,98.21463982299997,,,,461.9999998714775,
81057.00000012293,-0.323,3,,,,,,160.00000008,,
81217.00000043493,-0.323,4,,,,1697.406123523,,,,19380.999999912456
100778.00000030547,0.48,1,,,,,,177.00000011999998,,
100955.00000019092,0.48,2,,,0.0,,,,64344.00000027381,
165479.00000042282,0.3078,3,,,,,,158.99999988000002,,
165637.9999998724,0.3078,4,,,,1084.243325571,,,,389.00000103749335
166207.00000023935,0.2512,1,,,,,,149.99999988,,
166357.00000009965,0.2512,2,,,63.21414924800001,,,,100947.99999981187,
267484.9999998696,-0.2132,3,,,,,,145.00000014,,
267630.00000044703,-0.2132,4,,,,17.663418903,,,,84891.99999952689
352701.999999932,-0.45609999999999995,1,,,,,,175.00000002,,
352876.9999999786,-0.45609999999999995,2,,,9.637986892000072,,,,66383.0000010319,
419440.00000033993,0.7977,3,,,,,,201.00000006000002,,
419641.0000001779,0.7977,4,,,,0.0,,,,20631.000000424683
440451.999999932,-0.7277,1,,,,,,195.99999989999998,,
440647.99999985844,-0.7277,2,,,32.048442081000076,,,,216.00000020116568,
441044.0000000177,-0.7577,3,,,,,,198.0,,
441242.00000041164,-0.7577,4,,,,7.678242741,,,,1732.0000000298023
443154.00000039954,-0.6815,1,,,,,,192.99999984,,
443347.0000002533,-0.6815,2,,,0.0,,,,216.00000020116568,
443743.0000004126,-0.6602,3,,,,,,192.00000006,,
443935.0000000326,-0.6602,4,,,,746.627561032,,,,390.0000006426126
444505.00000000466,-0.6326999999999999,1,,,,,,188.99999993999998,,
444694.0000001807,-0.6326999999999999,2,,,0.0,,,,15881.999999843538,
460755.9999999823,0.43470000000000003,3,,,,,,172.99999997999998,,
460929.00000019,0.43470000000000003,4,,,,1594.263877122,,,,437.9999992903322
461547.00000006706,0.4457,1,,,,,,172.99999997999998,,
461720.00000027474,0.4457,2,,,2076.2535847609997,,,,51143.00000038929,
513042.9999999935,0.7152999999999999,3,,,,,,194.99999988,,
513238.0000003148,0.7152999999999999,4,,,,0.0,,,,12001.999999349937
525420.0000002515,-0.2303,1,,,,,,147.00000018,,
525567.0000000391,-0.2303,2,,,5.684205437000003,,,,216.00000020116568,
525963.0000001984,-0.2635,3,,,,,,151.99999992000002,,
526114.9999998976,-0.2635,4,,,,0.0,,,,55856.99999970384
582152.0000001881,0.6422,1,,,,,,190.00000002,,
582341.9999999693,0.6422,2,,,1024.1719437149998,,,,394.9999999254942,
582916.9999998529,0.7038000000000001,3,,,,,,195.00000012,,
583112.0000001742,0.7038000000000001,4,,,,0.0,,,,8668.000000761822
591960.0000002654,1.1809,1,,,,,,223.00000014,,
592183.000000217,1.1809,2,,,1162.6009796759997,,,,496.9999998807907,
592860.0000000559,1.214599999,3,,,,,,225.0,,
593084.9999998463,1.214599999,4,,,,1217.372718243,,,,28745.000000554137
622010.0000003586,0.18889999999999998,1,,,,,,140.00000004,,
622150.0000003958,0.18889999999999998,2,,,63.861019284999884,,,,6460.0000001024455,
628790.0000004563,1.0841,3,,,,,,217.99999986,,
629007.9999998678,1.0841,4,,,,0.0,,,,1416.000000340864
630604.0000001667,1.2151,1,,,,,,225.0,,
630828.9999999572,1.2151,2,,,1508.785027128,,,,423.00000018440187,
631432.0000000997,1.274899999,3,,,,,,228.00000006,,
631659.9999999627,1.274899999,4,,,,0.0,,,,423.00000018440187
632263.0000001052,1.3335,1,,,,,,230.0000001,,
632493.0000004359,1.3335,2,,,1552.8191782550002,,,,427.9999994672835,
633100.9999998612,1.391699999,3,,,,,,232.99999997999998,,
633334.0000002645,1.391699999,4,,,,0.0,,,,10917.999999923632
644432.0000001462,1.3508,1,,,,,,230.99999994,,
644663.000000082,1.3508,2,,,631.2067713499996,,,,375.999999884516,
645218.9999999246,1.2874,3,,,,,,228.00000006,,
645447.0000004163,1.2874,4,,,,0.0,,,,375.999999884516
646003.0000002589,1.2243,1,,,,,,225.0,,
646228.0000000494,1.2243,2,,,1149.556731169,,,,385.0000001024455,
646793.0000001099,1.1487,3,,,,,,221.0000001,,
647014.0000002226,1.1487,4,,,,0.0,,,,19428.99999981746
666622.9999999981,-0.0818,1,,,,,,114.00000006,,
666737.000000244,-0.0818,2,,,1399.5433420729998,,,,409.9999990314245,
667326.9999998622,-0.0563,3,,,,,,102.99999996,,
667430.0000000512,-0.0563,4,,,,542.927282648,,,,6141.999999945983
673751.9999999553,0.6254,1,,,,,,188.99999993999998,,
673941.0000001313,0.6254,2,,,0.0,,,,8045.000000344589,
